State,Abbr,Code,Residents (in millions)
California,CA,06,39.56
Texas,TX,48,28.7
Florida,FL,12,21.3
New York,NY,36,19.54
Pennsylvania,PA,42,12.81
Illinois,IL,17,12.74
Ohio,OH,39,11.69
Georgia,GA,13,10.52
North Carolina,NC,37,10.38
Michigan,MI,26,9.99
New Jersey,NJ,34,8.91
Virginia,VA,51,8.52
Washington,WA,53,7.54
Arizona,AZ,04,7.17
Massachusetts,MA,25,6.9
Tennessee,TN,47,6.77
Indiana,IN,18,6.69
Missouri,MO,29,6.13
Maryland,MD,24,6.04
Wisconsin,WI,55,5.81
Colorado,CO,08,5.7
Minnesota,MN,27,5.61
South Carolina,SC,45,5.08
Alabama,AL,01,4.89
Louisiana,LA,22,4.66
Kentucky,KY,21,4.47
Oregon,OR,41,4.19
Oklahoma,OK,40,3.94
Connecticut,CT,09,3.57
Iowa,IA,19,3.16
Utah,UT,49,3.16
Nevada,NV,32,3.03
Arkansas,AR,05,3.01
Mississippi,MS,28,2.99
Kansas,KS,20,2.91
New Mexico,NM,35,2.1
Nebraska,NE,31,1.93
West Virginia,WV,54,1.81
Idaho,ID,16,1.75
Hawaii,HI,15,1.42
New Hampshire,NH,33,1.36
Maine,ME,23,1.34
Rhode Island,RI,44,1.06
Montana,MT,30,1.06
Delaware,DE,10,0.97
South Dakota,SD,46,0.88
North Dakota,ND,38,0.76
Alaska,AK,02,0.74
District of Columbia,DE,10,0.7
Vermont,VT,50,0.63
Wyoming,WY,56,0.58
