Rank,Title,Studio,Gross,Gross (millions),Theaters,Openings,Openings (millions),Theaters,Date
1,Black Panther,BV,700059566,700,4084,202003951,202,4020,2/16/18
2,Avengers: Infinity War,BV,678815482,679,4474,257698183,258,4474,4/27/18
3,Marvel's The Avengers,BV,623357910,623,4349,207438708,207,4349,5/4/12
4,Avengers: Age of Ultron,BV,459005868,459,4276,191271109,191,4276,5/1/15
5,Iron Man 3,BV,409013994,409,4253,174144585,174,4253,5/3/13
6,Captain America: Civil War,BV,408084349,408,4226,179139142,179,4226,5/6/16
7,Spider-Man,Sony,403706375,404,3876,114844116,115,3615,5/3/02
8,Guardians of the Galaxy Vol. 2,BV,389813101,390,4347,146510104,147,4347,5/5/17
9,Spider-Man 2,Sony,373585825,374,4166,88156227,88,4152,6/30/04
10,Deadpool,Fox,363070709,363,3856,132434639,132,3558,2/12/16
11,Spider-Man 3,Sony,336530303,337,4324,151116516,151,4252,5/4/07
12,Spider-Man: Homecoming,Sony,334201140,334,4348,117027503,117,4348,7/7/17
13,Guardians of the Galaxy,BV,333176600,333,4088,94320883,94,4080,8/1/14
14,Deadpool 2,Fox,318491426,318,4349,125507153,126,4349,5/18/18
15,Iron Man,Par.,318412101,318,4154,98618668,99,4105,5/2/08
16,Thor: Ragnarok,BV,315058289,315,4080,122744989,123,4080,11/3/17
17,Iron Man 2,Par.,312433331,312,4390,128122480,128,4380,5/7/10
18,The Amazing Spider-Man,Sony,262030663,262,4318,62004688,62,4318,7/3/12
19,Captain America: The Winter Soldier,BV,259766572,260,3938,95023721,95,3938,4/4/14
20,X-Men: The Last Stand,Fox,234362462,234,3714,102750665,103,3690,5/26/06
21,X-Men: Days of Future Past,Fox,233921534,234,4001,90823660,91,3996,5/23/14
22,Doctor Strange,BV,232641920,233,3882,85058311,85,3882,11/4/16
23,Logan (2017),Fox,226277068,226,4071,88411916,88,4071,3/3/17
24,Big Hero 6,BV,222527828,223,3773,56215889,56,3761,11/7/14
25,Ant-Man and the Wasp,BV,216648740,217,4206,75812205,76,4206,7/6/18
26,X2: X-Men United,Fox,214949694,215,3749,85558731,86,3741,5/2/03
27,Venom (2018),Sony,213515506,214,4250,80255756,80,4250,10/5/18
28,Thor: The Dark World,BV,206362140,206,3841,85737841,86,3841,11/8/13
29,The Amazing Spider-Man 2,Sony,202853933,203,4324,91608337,92,4324,5/2/14
30,Spider-Man: Into The Spider-Verse,Sony,188985020,189,3813,35363376,35,3813,12/14/18
31,Thor,Par.,181030624,181,3963,65723338,66,3955,5/6/11
32,Ant-Man,BV,180202163,180,3868,57225526,57,3856,7/17/15
33,X-Men Origins: Wolverine,Fox,179883157,180,4102,85058003,85,4099,5/1/09
34,Captain Marvel,BV,179061315,179,4310,153433423,153,4310,3/8/19
35,Captain America: The First Avenger,Par.,176654505,177,3715,65058524,65,3715,7/22/11
36,X-Men,Fox,157299717,157,3112,54471475,54,3025,7/14/00
37,X-Men: Apocalypse,Fox,155442489,155,4153,65769562,66,4150,5/27/16
38,Fantastic Four (2005),Fox,154696080,155,3619,56061504,56,3602,7/8/05
39,X-Men: First Class,Fox,146408305,146,3692,55101604,55,3641,6/3/11
40,The Incredible Hulk,Universal,134806913,135,3508,55414050,55,3505,6/13/08
41,The Wolverine,Fox,132556852,133,3924,53113752,53,3924,7/26/13
42,Hulk,Universal,132177234,132,3674,62128420,62,3660,6/20/03
43,Fantastic Four: Rise of the Silver Surfer,Fox,131921738,132,3963,58051684,58,3959,6/15/07
44,Ghost Rider,Sony,115802596,116,3620,45388836,45,3619,2/16/07
45,Daredevil,Fox,102543518,103,3474,40310419,40,3471,2/14/03
46,Blade II,NL,82348319,82,2707,32528016,33,2707,3/22/02
47,Blade,NL,70087718,70,2389,17073856,17,2322,8/21/98
48,Fantastic Four,Fox,56117548,56,4004,25685737,26,3995,8/7/15
49,Blade: Trinity,NL,52411906,52,2912,16061271,16,2912,12/8/04
50,Ghost Rider: Spirit of Vengeance,Sony,51774002,52,3174,22115334,22,3174,2/17/12
51,The Punisher,Lions,33810189,34,2649,13834527,14,2649,4/16/04
52,Elektra,Fox,24409722,24,3204,12804793,13,3204,1/14/05
53,Howard the Duck,Universal,16295774,16,1563,5070136,5,1554,8/1/86
54,Punisher: War Zone,LGF,8050977,8,2508,4271451,4,2508,12/5/08
55,"Once Upon a Deadpool
(Re-release)",Fox,6100309,6,1566,2683200,3,1566,12/12/18
56,Inhumans,Imax,1521787,2,393,1135440,1,393,9/1/17
